    0.000849     MBPol_CLATHRATE_CS2_16_273K1ATM37
    0.000847     MBPol_LIQUID_277K_1ATM7960
    0.000844     MBPol_LIQUID_277K_1ATM2227
    0.000840     MBPol_LIQUID_277K_1ATM8523
    0.000837     MBPol_CLATHRATE_CS2_16_273K1ATM88
    0.000835     TIP4P2005_LIQUID_253K_20ATM201
    0.000832     MBPol_LIQUID_277K_1ATM5537
    0.000825     MBPol_CLATHRATE_CS2_16_273K1ATM95
    0.000820     MBPol_CLATHRATE_CS2_16_288K1ATM74
    0.000819     MBPol_LIQUID_277K_1ATM9214
    0.000809     TIP4P2005_LIQUID_253K_15ATM388
    0.000805     MBPol_LIQUID_253K_1ATM119
    0.000804     MBPol_LIQUID_277K_1ATM3744
    0.000801     MBPol_LIQUID_277K_1ATM9201
    0.000793     TIP4P2005_LIQUID_253K_20ATM112
    0.000790     MBPol_LIQUID_253K_1ATM149
    0.000785     MBPol_LIQUID_253K_1ATM450
    0.000781     TIP4P2005_LIQUID_293K_30ATM186
    0.000771     MBPol_LIQUID_253K_1ATM2007
    0.000768     MBPol_LIQUID_277K_1ATM3483
    0.000767     TIP3P_CHLATRATE_DODEC_NVT_303K101
    0.000767     TIP4P2005_LIQUID_273K_5ATM255
    0.000764     TIP4P2005_LIQUID_273K_1ATM189
    0.000761     MBPol_LIQUID_277K_1ATM3692
    0.000752     TIP4P2005_LIQUID_293K_10ATM266
    0.000748     MBPol_LIQUID_277K_1ATM8997
    0.000747     MBPol_LIQUID_277K_1ATM5439
    0.000735     MBPol_LIQUID_277K_1ATM2853
    0.000733     TIP4P2005_LIQUID_273K_5ATM297
    0.000732     MBPol_LIQUID_277K_1ATM1272
    0.000730     MBPol_LIQUID_253K_1ATM563
    0.000729     MBPol_LIQUID_277K_1ATM1768
    0.000727     MBPol_LIQUID_253K_1ATM203
    0.000722     MBPol_LIQUID_277K_1ATM5161
    0.000722     MBPol_CLATHRATE_CS2_12_277K1ATM33
    0.000721     MBPol_LIQUID_253K_1ATM969
    0.000713     TIP3P_CHLATRATE_DODEC_NVT_283K34
    0.000712     MBPol_CLATHRATE_CS2_16_298K1ATM82
    0.000706     MBPol_LIQUID_277K_1ATM3245
    0.000705     MBPol_CLATHRATE_CS1_253K1ATM100
    0.000696     TIP4P2005_LIQUID_253K_15ATM392
